x1	y1		y2		y3
0.	1.05599		0.599384	0.186109
0.25	0.956541	0.724839	0.0513819
0.5	0.925521	0.768073	-0.0358225
0.75	0.912573	0.79072		-0.0935979
1.	0.907801	0.806933	-0.131383

