x1	y1		y2		y3
0.	1.02364		0.627956	0.444897
0.25	0.935832	0.705107	0.390136
0.5	0.916952	0.72314		0.374396
0.75	0.934537	0.704862	0.389336
1.	1.02091		0.626346	0.443625

