x1	y1		y2		y3
0.	0.647004	0.384231	0.208587
0.25	0.594508	0.438999	0.147499
0.5	0.584478	0.450814	0.130635
0.75	0.594786	0.438495	0.150089
1.	0.647061	0.38524		0.214137

