x1	y1		y2		y3
0.	0		1.1626		-0.15249
0.25	0.252948	0.791564	-0.195765
0.5	0.293982	0.728503	-0.202628
0.75	0.252948	0.791564	-0.195765
1.	0		1.1626		-0.15249

