x1	y1		y2
0.	0		0
0.125	0.152176	0.132543
0.25	0.140006	0.150689
0.375	0.164234	0.147384
0.5	0.184965	0.138512
0.625	0.197166	0.133565
0.75	0.19905		0.148389
0.875	0.180265	0.197004
1.	0		0

