x1	y1		y2		y3
0.	1.07431		0.638424	0.360695
0.25	0.985612	0.71241		0.28077
0.5	0.966795	0.730343	0.259832
0.75	0.986254	0.711644	0.285764
1.	1.07472		0.640515	0.371279

