x1	y1		y2
0.	0.5		0
0.125	0.501036	0.288565
0.25	0.477682	0.376974
0.375	0.454193	0.422505
0.5	0.422151	0.450431
0.625	0.39203		0.468518
0.75	0.365014	0.490423
0.875	0.322341	0.5696
1.	0		0.5

