x1		y1			y2			y3
0.		0			1.0671		-0.18787
0.25	0.241176	0.748976	-0.215855
0.5		0.283728	0.693843	-0.219248
0.75	0.241176	0.748976	-0.215855
1.		0			1.0671		-0.18787

