x1	y1		y2		y3
0.	0		1.91035		-0.159564
0.25	0.417134	1.30354		-0.229981
0.5	0.485575	1.20053		-0.241672
0.75	0.417134	1.30354		-0.229981
1.	0		1.91035		-0.159564

